                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5649,                  3.217,                 1.3613,                 0.5227,                0.38586,                0.42385,                0.30252,                 1.2761,                 2.3464,                 1.1188,                      0,                      0,                      0
                      2,                 1.3732,                 3.2467,                 1.1672,                0.52278,                0.38608,                0.41246,                0.28649,                 1.2717,                 2.3447,                 1.1184,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.5066,                 3.3785,                 1.2692,                0.52418,                0.38592,                0.41119,                0.28551,                 1.2701,                 2.3481,                 1.1176,              8.092e-07,              8.092e-07,              8.092e-07
